approach;log;config;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat
Urabe et al.;L2.csv;N=5-M=25-t=0.1-w=1500-w=1500;0.3536324703498514;0.5262393925859759;0.41543896807228414;0.5824825466501412;79;240;0.5739915896289547;0.17050931615586687;0.303093359275008;0.49797855290276877;0.6504381694255112;0.3237666807080012;0.4489375107394467;0.6141531953527443;5.099895061000012;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=5-M=30-t=0.1-w=1500-w=1500;0.3140484132895676;0.44146478873239436;0.3330507910799233;0.681525580243031;61;240;0.4740396220006539;0.0705525824213047;0.22499860184623138;0.47153829559999344;0.6;0.26571287617168227;0.4246173166344228;0.607702860966893;5.223624193999996;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=5-M=35-t=0.1-w=1500-w=1500;0.32317879747258477;0.4474633596392334;0.3402558944026393;0.6696738999603337;62;240;0.4727575356850807;0.06852290111199816;0.23080534964146357;0.4703293573602391;0.55579058699101;0.19023906819683364;0.33714018566753484;0.5401347448489129;5.532663597999999;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=5-M=40-t=0.1-w=1500-w=1500;0.340981901876782;0.44804674074922674;0.3419241358320906;0.6918665251406757;56;240;0.4482961805728012;0.05364406350139488;0.23178343273342175;0.47210962430690934;0.6012987012987013;0.2263459335624284;0.32589285714285715;0.5303364577137722;5.524497922999984;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=5-M=45-t=0.1-w=1500-w=1500;0.3547409920235078;0.510158013544018;0.40573709519238155;0.6598792724226493;56;240;0.5429907782752462;0.12515183000603927;0.2917791244378581;0.47464612589603195;0.6603896103896104;0.32877415569652746;0.4552763413057531;0.6020169058320963;5.906237300999976;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=5-M=50-t=0.1-w=1500-w=1500;0.3180020907837065;0.4735695447769751;0.3694448238934154;0.6135392572670704;59;240;0.5297898460849011;0.10268883828486625;0.25764567771294994;0.4605174927771951;0.6890707188778492;0.3743748917487085;0.4433122918634127;0.6250239071056864;6.701161952999996;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=10-M=5-t=0.1-w=1500-w=1500;0.7932381806454325;0.7556463511519691;0.752501759117848;0.3402613528119026;131;240;0.7878103820023753;0.4764694709736575;0.608466864243937;0.6243405441915408;0.9115678214914856;0.7728684615898264;0.8173391494002181;0.833035104256305;4.497341109000047;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=10-M=10-t=0.1-w=1500-w=1500;0.8588279438357446;0.8489240718028765;0.852365239444591;0.48483303912838743;199;240;0.8720419098432911;0.6772221220505859;0.7501520607662548;0.7652605881145104;0.981574539363484;0.9514025425187821;0.9612347451543432;0.9637710928180027;4.953183354000032;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=10-M=15-t=0.1-w=1500-w=1500;0.7524883652828315;0.7633281284853892;0.7527482196291602;0.6014852941586317;208;240;0.8162600262577135;0.5523328749236794;0.6250318358607747;0.6815892227924647;0.8626237043290652;0.6490237287299995;0.7142429516039223;0.7427977102304679;5.612268634000031;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=10-M=20-t=0.1-w=1500-w=1500;0.6175461828181701;0.7375878612071851;0.6720998289903266;0.5973706769654628;168;240;0.7907534416515536;0.5229016855955715;0.5652772645674824;0.6787187554798284;0.8932848588537211;0.7599419743136885;0.671563284001544;0.8421020937662785;5.421246136999969;full;0;0;0;0;0;0;0;0
